location,description,tripTime,openHours,visitorStayTime,lat,long,locationKey
View Point Park,"Scenic overlook providing panoramic views of mountains, valley, morning fog & sunsets.","26 MAY,2018 11:00 AM",6:00 AM - 7:00 PM,45,12.4138971,75.667468,2869186
Raja's Seat,"Raja's Seat is a seasonal garden of flowers and artificial fountains. It is one of the most important tourist spots in Madikeri of Coorg District. It is 270 km away from Bangalore, the capital of Karnataka.","26 MAY,2018 12:00 AM",6:00 AM - 8:00 PM,60,12.4141634,75.7347679,188779
Government Museum,"Historical place museum in Madikeri, Karnataka","26 MAY,2018 1:00 AM",10:00 AM - 5:30 PM,40,12.4203611,75.7370414,188779
Madikeri Fort,"Madikeri Fort also called Mercara Fort was first founded by Mudduraja in the second half of the 17th century. He also built a palace inside the fort. It was eventually rebuilt and restructured in granite by Tipu Sultan who named the site as Jaffarabad. Mercara Fort is among the many forts, build or rebuild by Tipu Sultan.","26 MAY,2018 2:30 AM",9:00 AM - 5:30 PM,55,12.4208223,75.7368469,188779
Abbey Falls Madikeri,"Abbey Falls is in Kodagu, in the Western Ghats in Karnataka. It is located 8 km from the Madikeri, 122 km from Mysore, 144 km from Mangalore and 268 km from Bangalore. The river is part of the early reaches of the river Kaveri","26 MAY,2018 4:00 AM",7:00 AM - 6:00 PM,35,12.4570611,75.7142022,2869090
Talakaveri Greater National Park,"Panathoor Bhagamandala Inter State Rd, Karike, Karnataka 571247","27 MAY,2018 8:00 AM",,,12.4199377,75.4672398,2875037
Tadiandamol Hills,"Tourist attraction in Yevakapadi, India","27 MAY,2018 1:00 AM",6:00 AM - 5:00 PM,,12.2175615,75.6067913,2875055
Iruppu Falls,"The Irupu Falls is located in the Brahmagiri Range in the Kodagu district of Karnataka, India, bordering the Wayanad district of Kerala","28 MAY,2018 7:30 AM",7:15 AM - 5:00 PM,60,11.9655703,75.9815072,193705
Dubara Elephant Camp (Optional),"Jungle camp offering elephant bathing, feeding & riding experiences & rafting on the Kaveri River.","28 MAY,2018 10:00 AM",8:30 AM - 11:00 AM,90,12.3705782,75.9032214,2869498
Nisargadhama,"Kaveri Nisargadhama is an island formed by river Kaveri near Kushalnagar in the district of Kodagu, Karnataka, India.","28 MAY,2018 10:00 AM",9:00 AM - 5:45 PM,60,12.4420349,75.9308267,2869117
Golden Temple,The Namdroling Nyingmapa Monastery is the largest teaching center of the Nyingma lineage of Tibetan Buddhism in the world.,"28 MAY,2018 12:00 AM",8:00 AM - 7:10 PM,60,12.4303871,75.9653091,2869190
